SoundName,avrating,V,A,afs1,afs2,afs3,afs4
Sound117.wav,2.95,0.541425287,0.583297619,1,,,4
Sound72.wav,2.625,0.714221721,0.740333778,1,,,4
Sound129.wav,2.625,0.406956005,0.799858374,1,2,,
Sound76.wav,2.6,0.61317734,0.602659439,1,,3,
Sound24.wav,2.6,0.70629439,0.736529851,1,,,4
Sound180.wav,2.55,0.57266313,0.50171978,,2,,4
Sound109.wav,2.525,0.653475321,0.666281513,1,,3,
Sound18.wav,2.525,0.521169415,0.734347826,1,,,4
Sound108.wav,2.5,0.402173913,0.399718944,,2,3,
Sound48.wav,2.475,0.506500639,0.71098545,1,2,,
Sound145.wav,2.425,0.438199234,0.457380952,,,3,4
Sound20.wav,2.4,0.55387931,0.634099026,1,,,4
Sound36.wav,2.375,0.533163418,0.838928571,1,,,4
Sound177.wav,2.375,0.560300045,0.81716141,1,2,,
Sound33.wav,2.375,0.740957194,0.778485222,,2,,4
Sound23.wav,2.325,0.361424682,0.334448622,,2,3,
Sound83.wav,2.275,0.284334975,0.839472789,1,2,,
Sound44.wav,2.275,0.539370489,0.498563123,,,3,4
Sound25.wav,2.275,0.605061576,0.815382653,1,,,4
Sound64.wav,2.25,0.532458886,0.627736264,1,,3,
Sound9.wav,2.2,0.389359606,0.781751701,,2,,4
Sound62.wav,2.2,0.616127042,0.600082707,1,2,,
Sound113.wav,2.2,0.389280998,0.793138298,1,2,,
Sound60.wav,2.2,0.410431996,0.635845725,,2,3,
Sound50.wav,2.2,0.361128527,0.800292208,,2,,4
Sound63.wav,2.15,0.383111658,0.835493197,1,2,,
Sound38.wav,2.15,0.596637931,0.803592687,1,2,,
Sound136.wav,2.125,0.501100164,0.739512472,1,2,,
Sound102.wav,2.125,0.652876847,0.760020408,,2,,4
Sound51.wav,2.1,0.544950739,0.626651786,,,3,4
Sound165.wav,2.1,0.648466915,0.613021236,1,2,,
Sound67.wav,2.075,0.55528425,0.596882239,1,,,4
Sound96.wav,2.05,0.496108374,0.837376093,1,2,,
Sound175.wav,2.05,0.439425287,0.836468254,1,2,,
Sound86.wav,2.05,0.667586207,0.786318027,1,,3,
Sound75.wav,2.025,0.355967628,0.26941691,1,,3,
Sound135.wav,2.025,0.394625446,0.77908867,1,2,,
Sound52.wav,2.025,0.608500958,0.646780754,1,2,,
Sound157.wav,2,0.466735632,0.846285714,,2,,4
Sound31.wav,2,0.346049902,0.846986063,1,2,,
Sound71.wav,1.975,0.539970653,0.535691489,1,,,4
Sound84.wav,1.975,0.636988506,0.79902381,1,,,4
Sound10.wav,1.975,0.607431386,0.627922741,1,,3,
Sound152.wav,1.95,0.759695019,0.679638095,1,,3,
Sound133.wav,1.95,0.430086207,0.565646259,,2,3,
Sound100.wav,1.95,0.417430845,0.330525903,1,,3,
Sound115.wav,1.925,0.359042146,0.409886621,,,3,4
Sound103.wav,1.925,0.533916256,0.580545918,1,,,4
Sound53.wav,1.925,0.529222571,0.570508658,,,3,4
Sound69.wav,1.925,0.708665846,0.749689626,1,,3,
Sound105.wav,1.925,0.58985769,0.669291383,1,,3,
Sound94.wav,1.875,0.401793103,0.795261905,,2,3,
Sound79.wav,1.875,0.600747448,0.642282522,1,,3,
Sound101.wav,1.875,0.358065134,0.518154762,,,3,4
Sound99.wav,1.85,0.603448276,0.523449675,,2,,4
Sound140.wav,1.85,0.56823049,0.738662281,,2,,4
Sound40.wav,1.85,0.465941645,0.594148352,,2,3,
Sound95.wav,1.825,0.516234326,0.563129058,1,,,4
Sound169.wav,1.825,0.385493378,0.58720959,,2,3,
Sound167.wav,1.825,0.41127321,0.870005495,1,2,,
Sound160.wav,1.825,0.529093341,0.736527094,,2,3,
Sound122.wav,1.8,0.643891626,0.839241983,1,2,,
Sound179.wav,1.8,0.555670498,0.549847884,,,3,4
Sound68.wav,1.8,0.481400209,0.476839827,,,3,4
Sound147.wav,1.775,0.607665782,0.508475275,1,,,4
Sound162.wav,1.775,0.638068966,0.619428571,1,,3,
Sound32.wav,1.775,0.437751124,0.796335404,,2,,4
Sound126.wav,1.775,0.476676449,0.521975684,1,,,4
Sound6.wav,1.75,0.384678022,0.45947325,,,3,4
Sound137.wav,1.75,0.612653061,0.599205539,1,,,4
Sound131.wav,1.75,0.41892922,0.505432331,,,3,4
Sound58.wav,1.725,0.44532567,0.776264172,,2,3,
Sound127.wav,1.725,0.363340597,0.251842804,,2,,4
Sound139.wav,1.725,0.555724138,0.821988095,,2,,4
Sound155.wav,1.725,0.556413793,0.432571429,,2,,4
